WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9673906443644 40.7919218940616)","12054397",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"701",parking,Street Cleaning,2016/04/05,
"POINT (-73.9630333771066 40.8010146743859)","12054254",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"546",parking,Street Cleaning,2015/03/03,
"POINT (-73.9612146824299 40.8002486389307)","12054217",S-01450065,N,"[ ""N"", ""North side"" ]",WEST  108 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"222",parking,Street Cleaning,2020/02/12,
"POINT (-73.9633934734021 40.8011664214926)","12054252",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"432",parking,Street Cleaning,2015/03/03,
"POINT (-73.9609303124311 40.8001289582749)","12054218",S-01450065,N,"[ ""N"", ""North side"" ]",WEST  108 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,PS-49B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> ,018 X 012,,,"312",parking,Street Cleaning,2020/02/12,
"POINT (-73.9670809561459 40.7917916843028)","12054396",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"603",parking,Street Cleaning,2016/04/05,
"POINT (-73.9665405847066 40.7915644795615)","12054394",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"432",parking,Street Cleaning,2016/04/05,
"POINT (-73.9609113544675 40.8001209795395)","12054225",S-01450066,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"318",parking,Street Cleaning,2019/06/07,
"POINT (-73.9660444574516 40.79135587414)","12054393",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"275",parking,Street Cleaning,2016/04/05,
"POINT (-73.9655514933223 40.7911485952935)","12054392",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"119",parking,Street Cleaning,2016/01/17,
"POINT (-73.9655514933223 40.7911485952935)","12054391",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"119",parking,No Standing,2016/01/17,
"POINT (-73.9613031533047 40.800285872769)","12054224",S-01450066,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"194",parking,Street Cleaning,2019/06/07,
"POINT (-73.9780029610868 40.7864946921686)","11039771",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-121B,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> ,018 X 012,,,"31",parking,Street Cleaning,2018/12/13,
"POINT (-73.9653934926483 40.7910821593182)","12054390",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"69",parking,Street Cleaning,2016/01/17,
"POINT (-73.9653934926483 40.7910821593182)","12054389",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"69",parking,No Standing,2016/01/17,ALEXANDER ROBERSTON SCHOOL
"POINT (-73.9713219495267 40.7935758053479)","12054416",S-01450081,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,BROADWAY,AMSTERDAM AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"304",parking,Street Cleaning,2017/06/27,
"POINT (-73.9720478524174 40.7938826830574)","12054414",S-01450081,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,BROADWAY,AMSTERDAM AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"74",parking,Street Cleaning,2017/06/27,
"POINT (-73.9716628074419 40.7937199050174)","12054415",S-01450081,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,BROADWAY,AMSTERDAM AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"196",parking,Street Cleaning,2017/06/27,
"POINT (-73.9775638992405 40.7868078386621)","11039779",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-9A,ZONE#111643 PAY BY CELL LOCATOR,018 X 006,,,"176",parking,Metered Parking,2018/12/13,"111643"
"POINT (-73.977668669657 40.7866678776412)","11039774",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-121BA,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY --> ,018 X 012,,South,"117",parking,Street Cleaning,2018/12/13,
"POINT (-73.9778276304803 40.7864565639065)","11039773",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-9A,ZONE#111643 PAY BY CELL LOCATOR,018 X 006,,,"31",parking,Metered Parking,2018/12/13,"111643"
"POINT (-73.9780029610868 40.7864946921686)","11039772",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-64C,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY <-> ,018 X 018,,,"31",parking,Metered Parking,2018/12/13,
"POINT (-73.9775638992405 40.7868078386621)","11039778",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-64CA,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY --> ,018 X 018,,North,"176",parking,Metered Parking,2018/12/13,
"POINT (-73.9775638992405 40.7868078386621)","11039777",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-121BA,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY --> ,018 X 012,,North,"176",parking,Street Cleaning,2018/12/13,
"POINT (-73.9874130497532 40.7786986451694)","12051100",S-01449636,W,"[ ""W"", ""West side"" ]",FREEDOM PLACE,WEST   69 STREET,WEST   70 STREET,PS-54B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> ,018 X 012,,,"42",parking,Street Cleaning,2020/06/19,
