"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"3010 Broadway","1019730001","1950","1","College/University","78593","Not Available","Not Available","Not Available","Not Available","2031.3","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","78593","Not Available","Not Available","Not Available","Not Available","Not Available","78593","Not Available","Not Available","Not Available","Not Available","7622519.7","Not Available","Not Available","4647889.1"
"301 E. 17th Street","1-00923-0001","1979","1","Hospital (General Medical & Surgical)","338424","Not Available","Not Available","Not Available","Not Available","6310.8","34","Not Available","338424","Not Available","Not Available","Not Available","Not Available","Not Available","338424","Not Available","Not Available","Not Available","Not Available","51018046","929897","9298.97023","10599855.2"
"301 East 66th Street","1-01441-7501","1956","1","Multifamily Housing","231493","Not Available","Not Available","Not Available","Not Available","1095.5","52","Not Available","231493","Not Available","231493","Not Available","Not Available","Not Available","231493","Not Available","Not Available","Not Available","Not Available","9405527.6","1428523.3","14285.23331","1457238.5"
"301 East 73rd Street","1-01448-0001","1966","1","Multifamily Housing","58480","Not Available","Not Available","Not Available","Not Available","482.8","5","Not Available","58480","Not Available","58480","Not Available","Not Available","Not Available","58480","Not Available","Not Available","Not Available","Not Available","5792971.7","115486.7","1154.866628","339526.1"
"301 East 75th Street","1-01450-0001","1966","1","Multifamily Housing","117350","Retail Store","10900","Not Available","Not Available","987.4","4","Not Available","128250","Not Available","117350","Not Available","10900","Not Available","128250","Not Available","Not Available","Not Available","Not Available","8416622.5","274712.2","2747.121509","1526821.6"
"301 West 57th Street","1-01048-7503","1987","1","Multifamily Housing","256030","Retail Store","5665","Not Available","Not Available","1806.2","2","Not Available","261695","Not Available","256030","Not Available","5665","Not Available","261695","Not Available","Not Available","Not Available","Not Available","7498058.4","307108.7","3071.087257","4765494.4"
"3020 Broadway","1019730001","1950","1","College/University","18652","Not Available","Not Available","Not Available","Not Available","769.8","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","18652","Not Available","Not Available","Not Available","Not Available","Not Available","18652","Not Available","Not Available","Not Available","Not Available","441123.3","Not Available","Not Available","240401.2"
"302-304 East 42nd Street","1-01334-0005","1930","1","Hotel","141758","Not Available","Not Available","Not Available","Not Available","1084","37","Not Available","141758","Not Available","Not Available","Not Available","Not Available","Not Available","141758","Not Available","Not Available","Not Available","Not Available","7363319.6","104023","1040.230283","2174293"
"3030 Broadway","1019730001","1974","1","College/University","258175","Not Available","Not Available","Not Available","Not Available","205.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","258175","Not Available","Not Available","Not Available","Not Available","Not Available","258175","Not Available","Not Available","Not Available","Not Available","1269628","Not Available","Not Available","Not Available"
"303 East 60th Street","1-01435-7501","1986","1","Multifamily Housing","233099","Not Available","Not Available","Not Available","Not Available","1021.4","79","Not Available","233099","Not Available","233099","Not Available","Not Available","Not Available","233099","Not Available","Not Available","Not Available","Not Available","10312525.4","273911.5","2739.114948","1187975.4"
"303 East 60th Street, New York","1-01435-7501","1986","1","Multifamily Housing","145912","Other","6000","Office","4500","1021.4","47","Not Available","156412","4500","145912","Not Available","Not Available","Not Available","156412","Not Available","Not Available","Not Available","Not Available","10312525.4","273911.5","2739.114948","1187975.4"
"303 Greenwich St.","1-00140-7501","1987","1","Multifamily Housing","87895","Not Available","Not Available","Not Available","Not Available","653.9","1","Not Available","87895","Not Available","87895","Not Available","Not Available","Not Available","87895","Not Available","Not Available","Not Available","Not Available","3562992.9","1053794.2","10537.94173","1332812"
"303 West 66th Street","1-01179-0019","1962","1","Multifamily Housing","424476","Office","2000","Not Available","Not Available","2071","65","Not Available","426476","2000","424476","Not Available","Not Available","Not Available","426476","Not Available","Not Available","Not Available","Not Available","20828275.7","1271520.6","12715.20565","2288573.2"
"304 East 65th Street","1-01439-7501","1987","1","Multifamily Housing","126193","Not Available","Not Available","Not Available","Not Available","836.3","10","Not Available","126193","Not Available","126193","Not Available","Not Available","Not Available","126193","Not Available","Not Available","Not Available","Not Available","6590911.8","236720","2367.200037","1424115.1"
"308 East 72nd Street","1-01446-7502","1996","1","Multifamily Housing","141875","Medical Office","16321","Not Available","Not Available","859.5","40","Not Available","158196","Not Available","141875","Not Available","Not Available","Not Available","158196","Not Available","Not Available","Not Available","Not Available","7043003.7","229932.8","2299.327632","1400336.6"
"30 Broad Street","1-00024-0029","1932","1","Office","470000","Not Available","Not Available","Not Available","Not Available","1475.4","91","Not Available","470000","470000","Not Available","Not Available","Not Available","Not Available","470000","Not Available","Not Available","Not Available","Not Available","4266077.8","Not Available","Not Available","4396774"
"30 E 40th","1-00869-0049","1920","1","Medical Office","65948","Other","1532","Office","0","509.9","28","Not Available","67480","0","Not Available","Not Available","Not Available","Not Available","67480","Not Available","Not Available","Not Available","Not Available","3246490","Not Available","Not Available","1085659.3"
"30 East 62nd Street","1-01376-0051","1958","1","Multifamily Housing","154517","Parking","6520","Fitness Center/Health Club/Gym","750","586.4","73","Not Available","155267","Not Available","154517","6520","Not Available","Not Available","155267","8520","Not Available","Not Available","Not Available","5537627.6","48112.1","481.121267","797208.5"
"30 East 65 St.","1-01379-0051","1963","1","Multifamily Housing","151781","Retail Store","9100","Parking","8000","879.7","26","Not Available","160881","Not Available","151781","8000","9100","Not Available","160881","8000","Not Available","Not Available","Not Available","8710201.1","85346.1","853.460617","1094757.6"
"30 East 68th Street","1-01382-0049","1925","1","Multifamily Housing","41371","Not Available","Not Available","Not Available","Not Available","285","13","Not Available","41371","Not Available","41371","Not Available","Not Available","Not Available","41371","Not Available","Not Available","Not Available","Not Available","3340023.8","38904.5","389.0454572","225683.3"
"30 Pike St","1002750028","1963","1","Repair Services (Vehicle, Shoe, Locksmith, etc.)","41428","Parking","0","Not Available","Not Available","380.1","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","41428","Not Available","Not Available","0","Not Available","Not Available","41428","15600","0","Not Available","Not Available","4667214.8","Not Available","Not Available","259081.7"
"30 Rockefeller Plaza","1-01265-7501","1939","1","Office","2291626","Retail Store","344298","Other - Entertainment/Public Assembly","212509","10082.5","63","Not Available","2911536","2291626","Not Available","Not Available","344298","Not Available","2911536","Not Available","Not Available","Not Available","Not Available","139989945.3","Not Available","Not Available","60125707.5"
"30 Sutton Pl","1013700021","1929","1","Multifamily Housing","136385","Not Available","Not Available","Not Available","Not Available","566.8","78","Not Available","136385","Not Available","136385","Not Available","Not Available","Not Available","136385","Not Available","Not Available","Not Available","Not Available","6322806","74752.1","747.5212713","527337.9"
"30 Vesey Street","1-00088-0010","1911","1","Office","71959","Not Available","Not Available","Not Available","Not Available","301.3","90","Not Available","71959","71959","Not Available","Not Available","Not Available","Not Available","71959","Not Available","Not Available","Not Available","Not Available","3929764.6","Not Available","Not Available","148741"
"30 Wall Street","1000430005","1919","1","Office","98299","Retail Store","10364","Not Available","Not Available","670.5","53","Not Available","108663","98299","Not Available","Not Available","10364","Not Available","108663","Not Available","Not Available","Not Available","Not Available","3572627.1","Not Available","Not Available","1598182.1"
"30 West 16th Street","1008170072","1865","5","K-12 School","198700","Not Available","Not Available","Not Available","Not Available","992","23","Not Available","198700","Not Available","Not Available","Not Available","Not Available","Not Available","198700","Not Available","Not Available","Not Available","Not Available","7398988.5","1804851.3","18048.51305","1493198"
"30 West 57th Street","1-01272-0056","1930","1","Office","34300","Not Available","Not Available","Not Available","Not Available","111","80","Not Available","34300","34300","Not Available","Not Available","Not Available","Not Available","34300","Not Available","Not Available","Not Available","Not Available","568606.3","Not Available","Not Available","270019.6"
"310 East 14th St","1-00455-0005;1-00455-0001","1893","2","Other - Specialty Hospital","198896","Not Available","Not Available","Not Available","Not Available","3064.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","198896","Not Available","Not Available","Not Available","Not Available","Not Available","198896","Not Available","Not Available","Not Available","Not Available","24718703.7","1642775.8","16427.75762","4926264.3"
"310 East 24th St","1009290050","1975","1","Multifamily Housing","44211","Not Available","Not Available","Not Available","Not Available","315.8","33","Not Available","44211","Not Available","44211","Not Available","Not Available","Not Available","44211","Not Available","Not Available","Not Available","Not Available","3572574.6","224719.6","2247.196121","245774"
"310 East 67th Street","1-01441-0040","1964","1","Urgent Care/Clinic/Other Outpatient","139352","Data Center","1200","Not Available","Not Available","3964.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","140552","Not Available","Not Available","Not Available","Not Available","Not Available","140552","Not Available","Not Available","Not Available","Not Available","41309316.3","696.7","6.96666633","4505078.3"
"310 East 70th Street","1-01444-0043","1959","1","Multifamily Housing","119000","Parking","9000","Not Available","Not Available","621.4","60","Not Available","119000","Not Available","119000","9000","Not Available","Not Available","119000","9000","Not Available","Not Available","Not Available","6623847.5","326428.1","3264.281271","605761.4"
"310 W. 52nd Street","1-01042-7502","2006","1","Multifamily Housing","226446","Not Available","Not Available","Not Available","Not Available","1048.5","39","Not Available","226446","Not Available","226446","Not Available","Not Available","Not Available","226446","Not Available","Not Available","Not Available","Not Available","4865686.4","2300868.7","23008.68739","2224881"
"310 West Broadway","1-00227-0028","1996","1","Hotel","186891","Other","3095","Not Available","Not Available","1301.6","51","Not Available","189986","Not Available","Not Available","Not Available","Not Available","Not Available","189986","Not Available","Not Available","Not Available","Not Available","7322005.5","1545665","15456.65013","2704823.6"
"311 East 75th Street","1-01450-0008","1930","1","Multifamily Housing","31211","Not Available","Not Available","Not Available","Not Available","247.5","43","Not Available","31211","Not Available","31211","Not Available","Not Available","Not Available","31211","Not Available","Not Available","Not Available","Not Available","2971125.9","102049.2","1020.492135","165414.8"
"315 East 70th Street","1-01445-0007","1960","1","Multifamily Housing","153440","Not Available","Not Available","Not Available","Not Available","690.4","54","Not Available","153440","Not Available","153440","Not Available","Not Available","Not Available","153440","Not Available","Not Available","Not Available","Not Available","7395824.7","256279.2","2562.792346","684810.6"
"315 West 70th Street","1-01182-0020","1963","1","Multifamily Housing","258974","Not Available","Not Available","Not Available","Not Available","1043.8","63","Not Available","258974","Not Available","258974","Not Available","Not Available","Not Available","258974","Not Available","Not Available","Not Available","Not Available","8511162.2","569736","5697.36034","1654036.2"
"317 East 67th Street","1014420001","1923","1","K-12 School","361820","Heated Swimming Pool","0","Not Available","Not Available","1576","90","Not Available","361820","Not Available","Not Available","Not Available","Not Available","Not Available","361820","Not Available","Not Available","Not Available","Not Available","19176832.9","72100","720.999936","1102399.7"
"317 West 52nd Street","1010430022","1930","1","K-12 School","64480","Not Available","Not Available","Not Available","Not Available","268.2","83","Not Available","64480","Not Available","Not Available","Not Available","Not Available","Not Available","64480","Not Available","Not Available","Not Available","Not Available","2602920.1","12900","128.9999989","349280"
"319 East 19th Street","1009250012","1898","1","K-12 School","114125","Not Available","Not Available","Not Available","Not Available","399","88","Not Available","114125","Not Available","Not Available","Not Available","Not Available","Not Available","114125","Not Available","Not Available","Not Available","Not Available","4527648.2","500","4.99999948","362800"
"31 Chambers St","1001530024","1901","1","Office","212500","Not Available","Not Available","Not Available","Not Available","983.8","85","Not Available","212500","212500","Not Available","Not Available","Not Available","Not Available","212500","Not Available","Not Available","Not Available","Not Available","9820220.1","0","0","1223464.5"
"31 East 79th St","1014910016","1925","1","Multifamily Housing","65142","Other","3430","Not Available","Not Available","257.4","Not Available","Total Number of Residential Living Units is too small","68572","Not Available","65142","Not Available","Not Available","Not Available","68572","Not Available","Not Available","Not Available","Not Available","2790615.8","23691.1","236.9108765","261357.9"
"31 W 34 St","1008360010","1912","1","Office","214904","Retail Store","60705","Not Available","Not Available","65718.5","1","Not Available","275609","214904","Not Available","Not Available","60705","Not Available","275609","Not Available","Not Available","Not Available","Not Available","982423212.9","Not Available","Not Available","1796399.7"
"31 West 34th Street","1008360010","1912","1","Office","246417","Retail Store","53627","Not Available","Not Available","1332.9","64","Not Available","300044","246417","Not Available","Not Available","53627","Not Available","300044","Not Available","Not Available","Not Available","Not Available","999211.6","Not Available","Not Available","4671256.9"
"31 West 52nd St.","1-01268-7501","1986","1","Office","761476","Financial Office","44000","Parking","24008","3410.7","81","Not Available","814121","761476","Not Available","24008","Not Available","Not Available","814121","24008","Not Available","Not Available","Not Available","4510008.3","Not Available","Not Available","11475029.5"
"320 E 57th Street","1-01349-0044","1928","1","Multifamily Housing","110000","Not Available","Not Available","Not Available","Not Available","429.2","83","Not Available","110000","Not Available","110000","Not Available","Not Available","Not Available","110000","Not Available","Not Available","Not Available","Not Available","4742135.6","216514.5","2165.144889","379391"
"320 E 58th St","1-01350-0040","1961","1","Multifamily Housing","117005","Not Available","Not Available","Not Available","Not Available","450.7","77","Not Available","117005","Not Available","117005","Not Available","Not Available","Not Available","117005","Not Available","Not Available","Not Available","Not Available","2282188.2","2567017.9","25670.17934","600454.4"
"320 East 23rd Street","1-00928-0040","1965","1","Multifamily Housing","153800","Not Available","Not Available","Not Available","Not Available","1046.8","19","Not Available","153800","Not Available","153800","Not Available","Not Available","Not Available","153800","Not Available","Not Available","Not Available","Not Available","10088069.2","273197.9","2731.978547","1337014.4"
"320 East 43rd Street","1-01335-0005","1967","1","Office","353933","Convention Center","54000","Restaurant","6556","1910.7","82","Not Available","415869","353933","Not Available","Not Available","Not Available","Not Available","415869","Not Available","Not Available","Not Available","Not Available","15924554.8","58977.4","589.7741848","3135773"
"320 Park Avenue","1-01286-0035","1994","1","Financial Office","705197","Bank Branch","10462","Data Center","6320","3781.9","76","Not Available","721979","Not Available","Not Available","Not Available","Not Available","Not Available","721979","Not Available","Not Available","Not Available","Not Available","14614176.4","Not Available","Not Available","10369822.2"
"320 West 66th Street","1-01171-0060","1929","1","Office","235000","Other","44000","Not Available","Not Available","1798.8","67","Not Available","279000","235000","Not Available","Not Available","Not Available","Not Available","279000","Not Available","Not Available","Not Available","Not Available","14132415.5","Not Available","Not Available","3173341.7"
"321 East 16th St","1009220046","1924","1","Hospital (General Medical & Surgical)","721046","Not Available","Not Available","Not Available","Not Available","11345.1","23","Not Available","721046","Not Available","Not Available","Not Available","Not Available","Not Available","721046","Not Available","729407.3","Not Available","Not Available","58692130.7","36472394.9","364723.9492","20125778.7"
"321 East 16th St","1009220046; 1009220002; 1009220070","1924","3","Hospital (General Medical & Surgical)","962594","Not Available","Not Available","Not Available","Not Available","13546.6","68","Not Available","962594","Not Available","Not Available","Not Available","Not Available","Not Available","962594","Not Available","729407.3","Not Available","Not Available","58692130.7","58732113.7","587321.1366","23884702.6"
"322 East 57th Street","1-01349-0041","1930","1","Multifamily Housing","88241","Restaurant","9288","Not Available","Not Available","577.2","6","Not Available","97529","Not Available","88241","Not Available","Not Available","Not Available","97529","Not Available","Not Available","Not Available","Not Available","4742409.1","702006","7020.059617","830104.5"
"325 Fifth Avenue","1-00862-7503","2005","1","Multifamily Housing","311564","Retail Store","5882","Not Available","Not Available","1652.9","25","Not Available","317446","Not Available","311564","Not Available","5882","Not Available","317446","Not Available","Not Available","Not Available","Not Available","9641574.8","3154171","31541.7102","3117426.6"
"327 Cherry Street","1002450007","1966","1","K-12 School","99700","Not Available","Not Available","Not Available","Not Available","164.2","99","Not Available","99700","Not Available","Not Available","Not Available","Not Available","Not Available","99700","Not Available","Not Available","Not Available","Not Available","856098","41100","410.999998","388000"
"327 East 47th Street","1013400016","1970","1","Office","32898","Museum","4800","Social/Meeting Hall","3714","165.4","78","Not Available","41412","32898","Not Available","Not Available","Not Available","Not Available","41412","Not Available","Not Available","Not Available","Not Available","1095712.1","Not Available","Not Available","341698.2"
"32 Old Slip","1000350001","1987","1","Office","973587","Not Available","Not Available","Not Available","Not Available","5922.4","54","Not Available","973587","973587","Not Available","Not Available","Not Available","Not Available","973587","Not Available","Not Available","Not Available","Not Available","18844349","1668829.8","16688.29833","16901482.1"
"32 Sixth Avenue","1-00192-0001","1930","1","Office","716615","Data Center","378441","Other","47492","17120","100","Not Available","1149392","716615","Not Available","Not Available","Not Available","Not Available","1149392","Not Available","Not Available","Not Available","Not Available","12257320.5","Not Available","Not Available","60141479.2"
"330 E. 26th Street","1-00931-0001","1970","2","Multifamily Housing","455358","Other","6000","Other - Education","5300","3433.3","15","Not Available","466658","Not Available","455358","Not Available","Not Available","Not Available","466658","Not Available","Not Available","Not Available","Not Available","35866412.7","1927007.8","19270.07799","3501812.1"
"330 East 21st St","1-00926-0001","1956","1","K-12 School","146400","Not Available","Not Available","Not Available","Not Available","371.3","95","Not Available","146400","Not Available","Not Available","Not Available","Not Available","Not Available","146400","Not Available","Not Available","Not Available","Not Available","3785959","23587","235.8700016","437777.2"
"330 East 38th Street","1-00943-7501","1989","1","Multifamily Housing","810221","Office","78963","Parking","26321","6342.3","16","Not Available","889184","78963","810221","26321","Not Available","Not Available","889184","26321","Not Available","Not Available","Not Available","51684843.4","19778287.3","197782.8733","6860151.9"
"330 East 49th Street","1-01341-7501","1962","1","Multifamily Housing","87533","Parking","7928","Not Available","Not Available","455.7","72","Not Available","87533","Not Available","87533","7928","Not Available","Not Available","87533","7928","Not Available","Not Available","Not Available","4288942.2","329807.9","3298.07884","565814.8"
"330 East 75th St","1-01449-7501","1985","1","Multifamily Housing","253853","Parking","20000","Retail Store","10000","1067.5","82","Not Available","263853","Not Available","253853","20000","10000","Not Available","263853","20000","Not Available","Not Available","Not Available","10187726.6","Not Available","Not Available","1442278.9"
"330 Hudson St","1005807501","1910","1","Office","468583","Restaurant","2105","Not Available","Not Available","2045.1","85","Not Available","470688","468583","Not Available","Not Available","Not Available","Not Available","470688","Not Available","Not Available","Not Available","Not Available","6371441.7","Not Available","Not Available","5982511.8"
"330 Hudson Street","1005807501","1910","1","Office","467000","Not Available","Not Available","Not Available","Not Available","2045.1","66","Not Available","467000","467000","Not Available","Not Available","Not Available","Not Available","467000","Not Available","Not Available","Not Available","Not Available","6371441.7","Not Available","Not Available","5982511.8"
"330 Madison Avenue","1012770014","1963","1","Office","800598","Data Center","4738","Bank Branch","4045","3500.6","81","Not Available","810475","800598","Not Available","Not Available","Not Available","Not Available","810475","Not Available","Not Available","Not Available","Not Available","11708675.7","Not Available","Not Available","10043634.1"
"330 W 42nd St","1010320048","1931","1","Office","597467","Not Available","Not Available","Not Available","Not Available","2877.2","66","Not Available","597467","597467","Not Available","Not Available","Not Available","Not Available","597467","Not Available","Not Available","Not Available","Not Available","18400185.6","Not Available","Not Available","6105731.9"
"331 E. 29th St","1-00935-0013","1970","1","Multifamily Housing","168529","Parking","25000","Retail Store","8369","1098.7","43","Not Available","176898","Not Available","168529","25000","8369","Not Available","176898","25000","Not Available","Not Available","Not Available","11925732","509518.2","5095.18205","1032037.5"
"333 E. 38th St","1-00944-7502","1928","1","Medical Office","234639","Outpatient Rehabilitation/Physical Therapy","86348","Ambulatory Surgical Center","74388","3846.6","Not Available","More than 25% of the Portfolio Manager-Calculated Property GFA is considered ""Other.""","404375","9000","Not Available","Not Available","Not Available","Not Available","404375","Not Available","Not Available","Not Available","Not Available","29809899.1","0","0","6887062"
"333 East 34th Street","1-00940-7501","1961","1","Multifamily Housing","169513","Parking","14337","Medical Office","9467","895.5","64","Not Available","193317","Not Available","169513","14337","Not Available","Not Available","178980","14337","Not Available","Not Available","Not Available","9009000.7","364553.7","3645.536875","1025083.4"
"333 East 45th Street","1-01338-7502","1978","1","Multifamily Housing","101882","Parking","8179","Not Available","Not Available","376.3","80","Not Available","101882","Not Available","101882","8179","Not Available","Not Available","101882","8179","Not Available","Not Available","Not Available","1124982.5","209607.3","2096.072711","1071433.4"
"333 East 57th Street","1-01350-0014","1928","1","Multifamily Housing","105000","Not Available","Not Available","Not Available","Not Available","326.2","92","Not Available","105000","Not Available","105000","Not Available","Not Available","Not Available","105000","Not Available","Not Available","Not Available","Not Available","3560161.1","99902","999.0201904","311700.4"
"334 E 26th Street","1-00931-0021","1985","1","Residence Hall/Dormitory","144423","Not Available","Not Available","Not Available","Not Available","866.1","59","Not Available","144423","Not Available","Not Available","Not Available","Not Available","Not Available","144423","Not Available","Not Available","Not Available","Not Available","7386185.2","Not Available","Not Available","1385732.5"
"334 West 23 Street","1007460060","1926","1","Hotel","32000","Not Available","Not Available","Not Available","Not Available","212.2","85","Not Available","32000","Not Available","Not Available","Not Available","Not Available","Not Available","32000","Not Available","Not Available","Not Available","Not Available","1399364.3","1109417.1","11094.17103","222769"
"335-347 East 24th Street","1009300020","1977","1","Ambulatory Surgical Center","191056","Not Available","Not Available","Not Available","Not Available","2883.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","191056","Not Available","Not Available","Not Available","Not Available","Not Available","191056","Not Available","Not Available","Not Available","Not Available","24750323.3","Not Available","Not Available","4574018.8"
"335 Madison Avenue","1-01278-0020","1914","1","Office","983943","Not Available","Not Available","Not Available","Not Available","4302.2","93","Not Available","983943","983943","Not Available","Not Available","Not Available","Not Available","983943","Not Available","Not Available","Not Available","Not Available","16076587","Not Available","Not Available","11930653.4"
"33 Liberty Street","1000660001","1924","1","Office","801685","Other","24681","Data Center","13479","5647","50","Not Available","870210","801685","Not Available","Not Available","Not Available","Not Available","870210","Not Available","Not Available","Not Available","Not Available","40666971.7","1555400","15554.00033","10563798"
"33 Maiden Lane","1000670023","1986","1","Office","508435","Food Service","16088","Data Center","7436","2235.1","80","Not Available","531959","508435","Not Available","Not Available","Not Available","Not Available","531959","Not Available","Not Available","Not Available","Not Available","5876822","Not Available","Not Available","6804531.8"
"33 Rector Street","1000177502","1920","1","Multifamily Housing","33659","Retail Store","1860","Not Available","Not Available","279.9","Not Available","Gross Floor Area is too small, Total Number of Residential Living Units is too small","35519","Not Available","33659","Not Available","1860","Not Available","35519","Not Available","Not Available","Not Available","Not Available","2259532.5","23943.6","239.4363599","474399.4"
"33 Third Avenue","1004650001","1986","1","Residence Hall/Dormitory","141869","Supermarket/Grocery Store","5160","Not Available","Not Available","933.1","59","Not Available","147029","Not Available","Not Available","Not Available","Not Available","5160","147029","Not Available","Not Available","Not Available","Not Available","6950888.1","201508.5","2015.08487","1699802.6"
"33 West 56th Street","1-01272-7501","2009","1","Multifamily Housing","94127","Parking","12856","Office","2117","509.6","17","Not Available","96244","2117","94127","12856","Not Available","Not Available","96244","12856","Not Available","Not Available","Not Available","3104708.4","284060.4","2840.604051","1063630"
"33 Whitehall Street","1-00010-0014","1986","1","Office","397310","Data Center","8000","Not Available","Not Available","1784.6","82","Not Available","405310","397310","Not Available","Not Available","Not Available","Not Available","405310","Not Available","Not Available","Not Available","Not Available","5141267.9","Not Available","Not Available","5323024.2"
"340 8th Ave","1-00777-0001","1975","3","College/University","446051","Not Available","Not Available","Not Available","Not Available","3939.7","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","446051","Not Available","Not Available","Not Available","Not Available","Not Available","446051","Not Available","Not Available","Not Available","Not Available","37519959.4","371697","3716.970127","5269443.5"
"340 East 23rd Street","1-00928-7503","2007","1","Multifamily Housing","172800","Retail Store","18439","Not Available","Not Available","984.7","25","Not Available","191239","Not Available","172800","Not Available","18439","Not Available","191239","Not Available","Not Available","Not Available","Not Available","4838065.5","1352575.9","13525.7594","2182062.2"
"340 East 57th Street","1-01349-0035","1929","1","Multifamily Housing","80300","Not Available","Not Available","Not Available","Not Available","264.1","91","Not Available","80300","Not Available","80300","Not Available","Not Available","Not Available","80300","Not Available","Not Available","Not Available","Not Available","2827632.2","118192.9","1181.928917","258347.8"
"341 East 25th Street","1009310024","1939","1","Laboratory","34329","Not Available","Not Available","Not Available","Not Available","646.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","34329","Not Available","Not Available","Not Available","Not Available","Not Available","34329","Not Available","Not Available","Not Available","Not Available","5435550.4","Not Available","Not Available","1053844"
"344 East 28th Street","1009330025","1970","1","Multifamily Housing","218666","Not Available","Not Available","Not Available","Not Available","1562.6","22","Not Available","218666","Not Available","218666","Not Available","Not Available","Not Available","218666","Not Available","Not Available","Not Available","Not Available","16739383.2","766258.1","7662.580597","1513682.9"
"344 EAST 28TH STREET","1-00933-0025","1970","1","Multifamily Housing","209802","Not Available","Not Available","Not Available","Not Available","1566.6","18","Not Available","209802","Not Available","209802","Not Available","Not Available","Not Available","209802","Not Available","Not Available","Not Available","Not Available","16739383.2","842983.1","8429.830597","1513676.8"
"345 E 37th St","1-00943-7501","1989","1","Other","924200","Not Available","Not Available","Not Available","Not Available","6342.8","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","924200","Not Available","Not Available","Not Available","Not Available","Not Available","924200","Not Available","Not Available","Not Available","Not Available","51684843.4","19778287.3","197782.8733","6861942.7"
"345 East 15th Street","1009220008","1906","1","K-12 School","218562","Not Available","Not Available","Not Available","Not Available","605.4","97","Not Available","218562","Not Available","Not Available","Not Available","Not Available","Not Available","218562","Not Available","Not Available","Not Available","Not Available","5874480","23800","238.0000047","789599.9"
"345 East 52nd Street","1-01345-0017","1959","1","Multifamily Housing","100154","Not Available","Not Available","Not Available","Not Available","464.2","68","Not Available","100154","Not Available","100154","Not Available","Not Available","Not Available","100154","Not Available","Not Available","Not Available","Not Available","4989485.6","181272.4","1812.724292","454796.7"
"345 East 56th St","1-01349-7501","1963","1","Multifamily Housing","219862","Supermarket/Grocery Store","7486","Parking","6500","1369.4","22","Not Available","227348","Not Available","219862","6500","Not Available","7486","227348","6500","Not Available","Not Available","Not Available","10577250.4","430025.1","4300.251394","2376247.6"
"345 East 59th St","1014340001","1950","1","Repair Services (Vehicle, Shoe, Locksmith, etc.)","35215","Not Available","Not Available","Not Available","Not Available","424.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","35215","Not Available","Not Available","Not Available","Not Available","Not Available","35215","Not Available","Not Available","Not Available","Not Available","3561212.8","Not Available","Not Available","693510.6"
"345 Hudson street","1-00598-0058","1931","1","Office","818663","Data Center","21225","Retail Store","9487","3896.5","79","Not Available","855344","818663","Not Available","Not Available","9487","Not Available","855344","Not Available","Not Available","Not Available","Not Available","441713.5","12685024.2","126850.2424","11778267.6"
"345 Park Ave","1013060001","1968","1","Office","1802777.6","Parking","47077","Food Service","11750","15548.9","53","Not Available","1842494","1802777.6","Not Available","47077","Not Available","Not Available","1842494","47077","Not Available","Not Available","Not Available","121211192.7","1167047.3","11670.47303","27436062.5"
"346 Madison Avenue","1-01279-0017","1915","1","Office","94262.5","Retail Store","45217.5","Not Available","Not Available","462.5","Not Available","Weekly Operating Hours is outside the allowed range, Weekly Operating Hours is outside the allowed range","139480","94262.5","Not Available","Not Available","45217.5","Not Available","139480","Not Available","Not Available","Not Available","Not Available","2378021","196.7","1.96666657","1123386.5"
"349 Fifth Avenue","1-00863-0081","1904","1","Office","47143","Bank Branch","11605","Not Available","Not Available","242.2","65","Not Available","58748","47143","Not Available","Not Available","Not Available","Not Available","58748","Not Available","Not Available","Not Available","Not Available","480577.8","Not Available","Not Available","775724.2"
