"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"6 W 20 ST","1-00821-0049","1910","1","Multifamily Housing","49032","Not Available","Not Available","Not Available","Not Available","169.9","Not Available","Total Number of Residential Living Units is too small","49032","Not Available","49032","Not Available","Not Available","Not Available","49032","Not Available","Not Available","Not Available","Not Available","1534398.5","18892","188.9204572","247016.2"
"700 5th Avenue","1012700038","1902","1","Hotel","272104","Retail Store","8670","Not Available","Not Available","2566.6","20","Not Available","280774","Not Available","Not Available","Not Available","8670","Not Available","280774","Not Available","Not Available","Not Available","Not Available","13270115.6","1644777.5","16447.77458","5894254.4"
"700 Park Avenue","1013840032","1960","1","Multifamily Housing","186550","Parking","15570","Not Available","Not Available","820.4","47","Not Available","186550","Not Available","186550","15570","Not Available","Not Available","186550","15570","Not Available","Not Available","Not Available","7261124.9","19719.3","197.1931818","1243932.8"
"703 Lexington Avenue","1013120023","1925","1","Office","26280","Not Available","Not Available","Not Available","Not Available","146.2","48","Not Available","26280","26280","Not Available","Not Available","Not Available","Not Available","26280","Not Available","Not Available","Not Available","Not Available","927233.2","287557.3","2875.572736","255987.6"
"708 3rd Ave. New York, NY, 10017","1012990033","1931","1","Office","359326","Not Available","Not Available","Not Available","Not Available","1837.8","88","Not Available","359326","359326","Not Available","Not Available","Not Available","Not Available","359326","Not Available","Not Available","Not Available","Not Available","12019951.2","311590.5","3115.905278","3773562"
"70 Charlton Street","1005800011","2014","1","Multifamily Housing","217400","Fitness Center/Health Club/Gym","7000","Heated Swimming Pool","0","913.3","63","Not Available","224400","Not Available","217400","Not Available","Not Available","Not Available","224400","Not Available","Not Available","Not Available","Not Available","5690578.5","1169959.4","11699.59407","1745882.2"
"70 Park Ave","1-00868-0036","1928","1","Hotel","95942","Not Available","Not Available","Not Available","Not Available","303","88","Not Available","95942","Not Available","Not Available","Not Available","Not Available","Not Available","95942","Not Available","Not Available","Not Available","Not Available","1520083","0","0","745351.9"
"70 Pine Street","1-00041-7504","1932","1","Multifamily Housing","792521","Hotel","170484","Retail Store","68911","3866.9","70","Not Available","1031916","Not Available","792521","Not Available","68911","Not Available","1031916","Not Available","Not Available","Not Available","Not Available","9966473.7","11084839.3","110848.3927","9650063.7"
"70 READE STREET","1001507501","1915","1","Multifamily Housing","53229","K-12 School","7726","Not Available","Not Available","262.7","Not Available","Total Number of Residential Living Units is too small","60955","Not Available","53229","Not Available","Not Available","Not Available","60955","Not Available","Not Available","Not Available","Not Available","2654237.7","90735.1","907.3514767","301136.7"
"711 5th Avenue","1-01291-0001","1927","1","Office","310000","Not Available","Not Available","Not Available","Not Available","1257.7","78","Not Available","310000","310000","Not Available","Not Available","Not Available","Not Available","310000","Not Available","Not Available","Not Available","Not Available","4706758.4","Not Available","Not Available","3486243.8"
"711 Amsterdam Ave","1-01225-0001","1967","1","Multifamily Housing","307027","Parking","10000","Retail Store","6363","1350.6","86","Not Available","313390","Not Available","307027","10000","6363","Not Available","313390","10000","Not Available","Not Available","Not Available","14199467.4","972378.8","9723.78784","1313322"
"711 Third Avenue","1013180001","1956","1","Office","478028","Parking","44646","Retail Store","18309","2387.8","77","Not Available","497908","478028","Not Available","44646","18309","Not Available","497908","44646","Not Available","Not Available","Not Available","14075306","Not Available","Not Available","5360027"
"712 7th Avenue","1010197501","1990","1","Hotel","268044","Not Available","Not Available","Not Available","Not Available","2163.9","33","Not Available","268044","Not Available","Not Available","Not Available","Not Available","Not Available","268044","Not Available","Not Available","Not Available","Not Available","13437279.9","4906900.3","49069.00288","3729076.6"
"712 Fifth Avenue","1-01271-0038","1990","1","Office","573652","Data Center","1205","Retail Store","0","1990.6","84","Not Available","574857","573652","Not Available","Not Available","0","Not Available","574857","Not Available","Not Available","Not Available","Not Available","7937162.3","Not Available","Not Available","5398039.3"
"715 Park Avenue","1014047501","1949","1","Multifamily Housing","110285","Not Available","Not Available","Not Available","Not Available","446.5","57","Not Available","110285","Not Available","110285","Not Available","Not Available","Not Available","110285","Not Available","Not Available","Not Available","Not Available","4480898.8","97202.3","972.0226888","530385.8"
